id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
133691,Ramachandrapuram,4017,AP,Andhra Pradesh,101,IN,India,16.83636,82.02871,Q542856
133600,Ramanayyapeta,4017,AP,Andhra Pradesh,101,IN,India,16.94516,82.2385,Q2229781
133712,Ramapuram,4017,AP,Andhra Pradesh,101,IN,India,15.28749,77.86722,Q1605050
133605,Rampachodavaram,4017,AP,Andhra Pradesh,101,IN,India,17.44088,81.77558,Q2010452
133729,Rayachoti,4017,AP,Andhra Pradesh,101,IN,India,14.05723,78.75056,Q2349951
133730,Rayadrug,4017,AP,Andhra Pradesh,101,IN,India,14.69971,76.85241,Q2349951
133734,Razam,4017,AP,Andhra Pradesh,101,IN,India,18.44909,83.65957,Q3537413
133732,Razampeta,4017,AP,Andhra Pradesh,101,IN,India,14.19544,79.15896,Q3537413
133733,Razole,4017,AP,Andhra Pradesh,101,IN,India,16.47608,81.83912,Q3537413
133627,Renigunta,4017,AP,Andhra Pradesh,101,IN,India,13.65143,79.51256,Q720932
133630,Repalle,4017,AP,Andhra Pradesh,101,IN,India,16.0184,80.82958,Q2483836
134065,Salur,4017,AP,Andhra Pradesh,101,IN,India,18.51716,83.20548,Q2563482
134066,Samalkot,4017,AP,Andhra Pradesh,101,IN,India,17.05675,82.17639,Q2563482
133822,Sattenapalle,4017,AP,Andhra Pradesh,101,IN,India,16.39381,80.15221,Q3445011
133946,Singarayakonda,4017,AP,Andhra Pradesh,101,IN,India,15.23046,80.02794,Q720856
133990,Sompeta,4017,AP,Andhra Pradesh,101,IN,India,18.94419,84.58449,Q607071
134019,Srikakulam,4017,AP,Andhra Pradesh,101,IN,India,18.2989,83.89751,Q671757
134032,Srisailain,4017,AP,Andhra Pradesh,101,IN,India,16.07217,78.86816,Q2269015
134093,Suluru,4017,AP,Andhra Pradesh,101,IN,India,13.7,80.01667,Q2248468
134226,Tadepalle,4017,AP,Andhra Pradesh,101,IN,India,16.48333,80.6,Q2738731
134227,Tadepallegudem,4017,AP,Andhra Pradesh,101,IN,India,16.81467,81.52717,Q2235626
134228,Tadpatri,4017,AP,Andhra Pradesh,101,IN,India,14.90832,78.01031,Q2336339
134113,Tanuku,4017,AP,Andhra Pradesh,101,IN,India,16.75438,81.68143,Q2566481
134126,Tekkali,4017,AP,Andhra Pradesh,101,IN,India,18.6057,84.23546,Q429171
134183,Tirumala,4017,AP,Andhra Pradesh,101,IN,India,13.68333,79.35,Q3424247
134187,Tirupati,4017,AP,Andhra Pradesh,101,IN,India,13.63551,79.41989,Q213248
134222,Tuni,4017,AP,Andhra Pradesh,101,IN,India,17.35905,82.54607,Q2576041
134292,Uravakonda,4017,AP,Andhra Pradesh,101,IN,India,14.94348,77.25494,Q736330
134448,vadlamuru,4017,AP,Andhra Pradesh,101,IN,India,17.09545,82.16565,Q663062
134308,Vadlapudi,4017,AP,Andhra Pradesh,101,IN,India,14.31119,79.8043,Q2449175
134347,Venkatagiri,4017,AP,Andhra Pradesh,101,IN,India,13.96005,79.58032,Q719838
134348,Vepagunta,4017,AP,Andhra Pradesh,101,IN,India,17.77844,83.21577,Q720888
134350,Vetapalem,4017,AP,Andhra Pradesh,101,IN,India,15.78502,80.30663,Q2563456
134356,Vijayawada,4017,AP,Andhra Pradesh,101,IN,India,16.50745,80.6466,Q200017
134364,Vinukonda,4017,AP,Andhra Pradesh,101,IN,India,16.0531,79.73964,Q2566502
134369,Visakhapatnam,4017,AP,Andhra Pradesh,101,IN,India,17.68009,83.20161,Q200016
134373,Vizianagaram,4017,AP,Andhra Pradesh,101,IN,India,18.11692,83.41148,Q3619248
134374,Vizianagaram District,4017,AP,Andhra Pradesh,101,IN,India,18.41102,83.37677,Q15392
134377,Vuyyuru,4017,AP,Andhra Pradesh,101,IN,India,16.36307,80.84406,Q3418817
134407,West Godavari,4017,AP,Andhra Pradesh,101,IN,India,17,81.16667,Q15404
